step,type,value,lr,norm,dt_ms,tokens_per_sec
0,val,10.952211380004883,,,,
0,hella,0.24756024696275641,,,,
0,train,10.955028533935547,8.39160839160839e-07,15.346040725708008,69318.31741333008,7563.484221259793
1,train,10.902673721313477,1.678321678321678e-06,14.866504669189453,2306.191921234131,227339.27526700968
2,train,10.803936958312988,2.5174825174825174e-06,14.465838432312012,2302.8225898742676,227671.90243197404
3,train,10.662130355834961,3.356643356643356e-06,12.932443618774414,2318.1638717651367,226165.20185899865
4,train,10.518579483032227,4.195804195804195e-06,10.578105926513672,2318.5458183288574,226127.94444489005
5,train,10.376812934875488,5.034965034965035e-06,8.876189231872559,2319.762945175171,226009.3002565009
6,train,10.257354736328125,5.874125874125874e-06,7.581058025360107,2340.4524326324463,224011.38886223893
7,train,10.146814346313477,6.713286713286712e-06,6.4525980949401855,2312.622547149658,226707.12116259214
8,train,10.035704612731934,7.5524475524475515e-06,5.508141040802002,2329.7877311706543,225036.81042931738
9,train,9.961254119873047,8.39160839160839e-06,4.595250129699707,2315.4332637786865,226431.92019466142
10,train,9.875725746154785,9.230769230769229e-06,3.8954176902770996,2341.6550159454346,223896.34528992337
11,train,9.828367233276367,1.006993006993007e-05,3.372653007507324,2311.8038177490234,226787.40988951785
12,train,9.781791687011719,1.0909090909090909e-05,2.991838216781616,2324.4292736053467,225555.5830213728
13,train,9.744495391845703,1.1748251748251748e-05,2.7023844718933105,2320.9402561187744,225894.6556757769
14,train,9.685209274291992,1.2587412587412587e-05,2.5517258644104004,2324.3567943573,225562.6164075938
15,train,9.663610458374023,1.3426573426573425e-05,2.4606800079345703,2323.775053024292,225619.08447965392
16,train,9.650527954101562,1.4265734265734264e-05,2.340312957763672,2336.653709411621,224375.56660118792
17,train,9.627370834350586,1.5104895104895103e-05,2.2904200553894043,2332.045793533325,224818.91284203372
18,train,9.677850723266602,1.5944055944055942e-05,2.30094575881958,2341.472625732422,223913.78581075688
19,train,9.672548294067383,1.678321678321678e-05,2.406501054763794,2331.4080238342285,224880.41331253425
20,train,9.571779251098633,1.762237762237762e-05,2.237423896789551,2331.712245941162,224851.0728168255
21,train,9.538335800170898,1.8461538461538458e-05,2.2882728576660156,2344.2721366882324,223646.38976627725
22,train,9.523126602172852,1.93006993006993e-05,2.2468953132629395,2334.0001106262207,224630.66630246714
23,train,9.511466979980469,2.013986013986014e-05,2.2048165798187256,2333.451271057129,224683.50057401482
24,train,9.445894241333008,2.0979020979020977e-05,2.2071821689605713,2352.8358936309814,222832.37068051516
25,train,9.411689758300781,2.1818181818181818e-05,2.1759250164031982,2323.8697052001953,225609.89492086603
26,train,9.396240234375,2.2657342657342655e-05,2.07857346534729,2334.775447845459,224556.07047085202
